"TOA5","LT2312","CR6","16236","CR6.Std.12.02","CPU:LT2312.CR6","5889","LT2312"
"TIMESTAMP","RECORD","BattV","PTemp_C","LC_kN","LC_Pct","S(1)","S(2)","S(3)","S(4)","S_Avg","RB_Mov","S_Corr"
"TS","RN","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-10-27 16:48:00",104,12.46,33.55,966.7,50.6,3.58,4.69,4.96,2.36,3.9,1.5,5.4
"2023-10-27 16:49:00",105,12.5,33.53,962.4,50.4,3.59,4.69,4.97,2.36,3.9,1.5,5.4
"2023-10-27 16:50:00",106,12.46,33.52,959.1,50.2,3.59,4.69,4.97,2.36,3.9,1.5,5.4
"2023-10-27 16:51:00",107,12.5,33.51,956.6,50.1,3.6,4.7,4.97,2.36,3.91,1.5,5.41
"2023-10-27 16:52:00",108,12.42,33.5,954.3,50,3.6,4.69,4.97,2.36,3.91,1.5,5.41
"2023-10-27 16:53:00",109,12.46,33.5,952.2,49.9,3.6,4.69,4.97,2.36,3.91,1.5,5.41
"2023-10-27 16:54:00",110,12.43,33.49,950.5,49.8,3.66,4.7,5.16,2.52,4.01,1.5,5.51
"2023-10-27 16:55:00",111,12.47,33.49,949.2,49.7,3.66,4.7,5.16,2.52,4.01,1.5,5.51
"2023-10-27 16:56:00",112,12.42,33.49,947.6,49.6,3.66,4.7,5.16,2.52,4.01,1.5,5.51
"2023-10-27 16:57:00",113,12.5,33.5,946,49.5,3.66,4.7,5.16,2.52,4.01,1.5,5.51
"2023-10-27 16:58:00",114,12.43,33.51,944.7,49.5,3.66,4.7,5.16,2.52,4.01,1.5,5.51
"2023-10-27 16:59:00",115,12.48,33.52,957.2,50.1,3.66,4.7,5.16,2.52,4.01,1.5,5.51
"2023-10-27 17:00:00",116,12.41,33.52,966.4,50.6,3.66,4.72,5.17,2.52,4.02,1.5,5.52
"2023-10-27 17:01:00",117,12.49,33.52,964.3,50.5,3.66,4.72,5.17,2.52,4.02,1.5,5.52
"2023-10-27 17:02:00",118,12.41,33.51,962.6,50.4,3.66,4.73,5.18,2.52,4.02,1.5,5.52
"2023-10-27 17:03:00",119,12.46,33.5,961.2,50.3,3.66,4.73,5.17,2.52,4.02,1.5,5.52
"2023-10-27 17:04:00",120,12.41,33.49,959.9,50.3,3.66,4.73,5.17,2.52,4.02,1.5,5.52
"2023-10-27 17:05:00",121,12.45,33.49,958.7,50.2,3.66,4.73,5.17,2.52,4.02,1.5,5.52
"2023-10-27 17:06:00",122,12.41,33.49,957.7,50.1,3.66,4.73,5.18,2.52,4.02,1.5,5.52
"2023-10-27 17:07:00",123,12.44,33.49,956.6,50.1,3.66,4.74,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:08:00",124,12.41,33.49,955.6,50,3.66,4.74,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:09:00",125,12.47,33.49,954.7,50,3.66,4.74,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:10:00",126,12.41,33.48,953.9,49.9,3.66,4.74,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:11:00",127,12.45,33.46,953.1,49.9,3.66,4.74,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:12:00",128,12.41,33.44,952.2,49.9,3.66,4.74,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:13:00",129,12.45,33.41,951.5,49.8,3.66,4.74,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:14:00",130,12.41,33.38,950.8,49.8,3.66,4.74,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:15:00",131,12.44,33.35,950.2,49.7,3.66,4.74,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:16:00",132,12.42,33.33,949.6,49.7,3.66,4.74,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:17:00",133,12.45,33.3,949.2,49.7,3.66,4.74,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:18:00",134,12.41,33.27,948.7,49.7,3.66,4.75,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:19:00",135,12.47,33.25,948.3,49.6,3.66,4.75,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:20:00",136,12.44,33.22,948,49.6,3.66,4.75,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:21:00",137,12.46,33.18,947.7,49.6,3.66,4.75,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:22:00",138,12.4,33.15,946.9,49.6,3.66,4.75,5.19,2.52,4.03,1.5,5.53
"2023-10-27 17:23:00",139,12.46,33.12,946.6,49.6,3.66,4.75,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:24:00",140,12.42,33.1,946.3,49.5,3.66,4.75,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:25:00",141,12.45,33.07,946,49.5,3.66,4.75,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:26:00",142,12.41,33.05,945.8,49.5,3.66,4.75,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:27:00",143,12.45,33.04,945.5,49.5,3.66,4.75,5.18,2.52,4.03,1.5,5.53
"2023-10-27 17:28:00",144,12.41,33.02,957.5,50.1,3.68,4.77,5.2,2.52,4.04,1.5,5.54
"2023-10-27 17:29:00",145,12.44,33.01,956.9,50.1,3.68,4.77,5.2,2.52,4.04,1.5,5.54
"2023-10-27 17:30:00",146,12.41,32.99,956.4,50.1,3.67,4.77,5.2,2.52,4.04,1.5,5.54
"2023-10-27 17:31:00",147,12.44,32.97,955.9,50,3.67,4.77,5.2,2.52,4.04,1.5,5.54
"2023-10-27 17:32:00",148,12.42,32.95,955.5,50,3.68,4.77,5.2,2.52,4.04,1.5,5.54
"2023-10-27 17:33:00",149,12.46,32.92,955.2,50,3.67,4.77,5.2,2.52,4.04,1.5,5.54
"2023-10-27 17:34:00",150,12.41,32.9,954.8,50,3.67,4.77,5.2,2.52,4.04,1.5,5.54
"2023-10-27 17:35:00",151,12.45,32.87,954.6,50,3.67,4.77,5.2,2.52,4.04,1.5,5.54
"2023-10-27 17:36:00",152,12.45,32.86,954.3,50,3.67,4.77,5.2,2.52,4.04,1.5,5.54
"2023-10-27 17:37:00",153,12.45,32.85,954.1,50,3.67,4.77,5.2,2.52,4.04,1.5,5.54
